GOid,Molecular Function Annotation Description,Frequency
GO:0030549,"Interacting (directly or indirectly) with acetylcholine receptors such that the proportion of receptors in the active form is increased.",1
GO:0043047,"Binding to single-stranded telomere-associated DNA.",1
GO:0001006,"Binding to a sequence of DNA that is a part of a type 3 promoter that controls transcription by RNA polymerase III (Pol III). A type 3 Pol III promoter is composed of elements upstream of the transcription start site, including a TATA box. The human U6 snRNA gene has a type 3 promoter. Type 3 Pol III promoters have not been observed in S. cerevisiae.",1
GO:0001003,"Binding to a sequence of DNA that is a part of a type 2 promoter that controls transcription by RNA polymerase III. Type 2 promoters consist of an A box and a B box downstream of the transcription start site within the sequence within the sequence of the mature RNA. Type 2 promoters are found in many tRNA genes as well as in other small RNAs.",1
GO:0000994,"Binding to an RNA polymerase III core enzyme, a multisubunit eukaryotic nuclear RNA polymerase typically composed of seventeen subunits.",1
GO:0001002,"Binding to a sequence of DNA that is a part of a type 1 promoter that controls transcription by RNA polymerase III. Type 1 promoters are found in 5S rRNA genes, downstream of the transcription start site within the sequence of the mature RNA, and require TFIIIA for recognition.",1
GO:0003746,"Functions in chain elongation during polypeptide synthesis at the ribosome.",1
GO:0000049,"Binding to a transfer RNA.",1
GO:0046982,"Binding to a nonidentical protein to form a heterodimer.",1
GO:0003909,"Catalysis of the formation of a phosphodiester bond between the 3'-hydroxyl group at the end of one DNA chain and the 5'-phosphate group at the end of another. This reaction requires an energy source such as ATP or NAD+.",1
GO:0017125,"Catalysis of the insertion of a dCMP residue opposite a template abasic site in DNA.",1
